iso3,region,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BGD,SEAR,,3030.0,40171.0,22973.0,18576.0,31895.0,11077.0,10441.0,18116.0,9569.0,11851.0,11699.0,14352.0,13631.0,11471.0,27327.0,1705.0,9292.0,5768.0,5443.0,9571.0,4995.0,4929.0,10329.0,6522.0,5666.0,5098.0,4414.0,3484.0,4067.0,9743.0,25934.0,6192.0,2924.0,2660.0,718.0,788.0,5625.0,1986.0,237.0,289.0,240.0,972.0,4001.0,2263.0,5827.0,2410.0,203.0,311.0
BGR,EUR,41335.0,20162.0,16877.0,806.0,423.0,249.0,10763.0,9239.0,281.0,326.0,292.0,972.0,1370.0,1560.0,404.0,111.0,147.0,2028.0,20258.0,354.0,121.0,172.0,695.0,23.0,80.0,24.0,46.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2249.0,22004.0,157.0,1.0,14.0,0.0,0.0,1.0,165.0,13.0,1231.0,257.0,0.0,1.0
BHR,EMR,3874.0,1009.0,4661.0,1263.0,1660.0,1781.0,1861.0,329.0,1147.0,438.0,1134.0,1910.0,97.0,22.0,5.0,181.0,59.0,7.0,12.0,2.0,0.0,3.0,74.0,4.0,4.0,38.0,6.0,5.0,8.0,12.0,11.0,4.0,3.0,7.0,2.0,3.0,0.0,0.0,0.0,,46.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0
BHS,AMR,432.0,14.0,933.0,1831.0,222.0,1659.0,484.0,45.0,50.0,2868.0,36.0,26.0,85.0,42.0,22.0,59.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BIH,EUR,,,,,,,,,,,,,,,,,512.0,179.0,144.0,249.0,875.0,125.0,,3937.0,2811.0,133.0,43.0,,28.0,18.0,28.0,23.0,17.0,166.0,8.0,22.0,45.0,10.0,22.0,,3000.0,1677.0,133.0,18.0,62.0,1404.0,,,6.0
BLR,EUR,,,,,,,,,,,,,,,,,224.0,1351.0,2324.0,3874.0,820.0,1516.0,395.0,135.0,517.0,153.0,21.0,45.0,14.0,21.0,2.0,1.0,149.0,1.0,0.0,0.0,1.0,50.0,10.0,16.0,64.0,2.0,10.0,1.0,259.0,201.0,0.0,3.0,0.0
BLZ,AMR,8.0,429.0,1341.0,19.0,216.0,255.0,607.0,186.0,6.0,11.0,4.0,7.0,124.0,224.0,74.0,2.0,25.0,7.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,AMR,5318.0,2244.0,6427.0,8194.0,3363.0,5802.0,4181.0,7654.0,720.0,2034.0,1270.0,217.0,346.0,987.0,1793.0,669.0,820.0,2108.0,4937.0,3391.0,1441.0,76.0,7.0,7.0,1004.0,1441.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
BRA,AMR,20061.0,19764.0,73631.0,54410.0,51345.0,65552.0,99263.0,61281.0,39370.0,58259.0,80875.0,75993.0,129126.0,66059.0,26179.0,22853.0,61435.0,42537.0,7934.0,6037.0,35.0,793.0,580.0,52284.0,2781.0,908.0,36.0,1.0,1.0,2.0,0.0,6.0,57.0,0.0,0.0,0.0,68.0,43.0,2.0,220.0,876.0,214.0,0.0,,10330.0,20901.0,8448.0,668.0,41.0
BRB,AMR,200.0,382.0,270.0,1711.0,35.0,16.0,27.0,41.0,6.0,6.0,5.0,7.0,2.0,2.0,1.0,2.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,WPR,,,133.0,,2138.0,249.0,485.0,775.0,243.0,558.0,541.0,617.0,440.0,63.0,28.0,39.0,12.0,,51.0,50.0,,,,13.0,12.0,23.0,42.0,11.0,,24.0,16.0,9.0,,,3.0,2.0,0.0,4.0,1.0,,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
BTN,SEAR,,,,,440.0,894.0,1642.0,1102.0,1868.0,1356.0,1321.0,819.0,948.0,673.0,382.0,554.0,173.0,441.0,103.0,505.0,683.0,148.0,9.0,169.0,66.0,9920.0,418.0,756.0,27.0,0.0,3.0,11.0,2.0,11.0,7.0,6.0,21.0,10.0,1.0,0.0,0.0,11.0,45.0,66.0,18.0,2.0,,,7.0
BWA,AFR,5625.0,8832.0,3495.0,8637.0,2483.0,8556.0,4091.0,2157.0,1512.0,6542.0,9249.0,1684.0,1018.0,126.0,711.0,3771.0,1218.0,565.0,566.0,5327.0,2447.0,478.0,1030.0,5032.0,700.0,439.0,2672.0,1.0,7.0,59.0,1.0,5.0,6.0,1.0,0.0,184.0,853.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0
CAF,AFR,3158.0,,11993.0,4382.0,8800.0,9104.0,8280.0,3820.0,2563.0,1564.0,6395.0,2446.0,1785.0,2148.0,1898.0,331.0,1275.0,3644.0,3022.0,1694.0,,902.0,248.0,194.0,146.0,600.0,3207.0,2837.0,938.0,652.0,1233.0,471.0,3.0,49.0,12.0,11.0,2.0,679.0,141.0,596.0,210.0,150.0,367.0,801.0,224.0,3390.0,3433.0,286.0,155.0
CAN,AMR,11985.0,13143.0,9158.0,0.0,5858.0,22444.0,13864.0,2307.0,1064.0,934.0,4078.0,2816.0,14941.0,2385.0,609.0,11145.0,1033.0,6178.0,2742.0,203.0,523.0,2361.0,327.0,579.0,12.0,29.0,206.0,34.0,6.0,15.0,7.0,6.0,13.0,101.0,62.0,14.0,99.0,803.0,10.0,83.0,418.0,195.0,11.0,45.0,28.0,113.0,1.0,0.0,3.0
CHE,EUR,,,,,,,,,,,,,,7400.0,7600.0,2700.0,1990.0,2700.0,4300.0,3000.0,1400.0,1400.0,2000.0,6400.0,2000.0,800.0,,700.0,,574.0,39.0,60.0,,1015.0,2022.0,958.0,77.0,621.0,61.0,175.0,23.0,35.0,65.0,105.0,50.0,,37.0,0.0,1.0
